strategy,feature_count_target,n_selected,seed,class_id,class_name,producer_accuracy,user_accuracy,f1,support_true,support_pred
RF_VIF10,30,15,2027,4,Rubber,0.8444444444444444,0.987012987012987,0.9101796407185628,90,77
RF_VIF10,30,15,2027,5,Partially vegetative,0.9444444444444444,0.9444444444444444,0.9444444444444444,90,90
RF_VIF10,30,15,2027,6,Rice,0.9555555555555556,1.0,0.9772727272727273,90,86
RF_VIF10,30,15,2027,7,Other upland crops,0.9555555555555556,0.9347826086956522,0.945054945054945,90,92
RF_VIF10,30,15,2027,8,Forest,0.9666666666666667,0.87,0.9157894736842105,90,100
RF_VIF10,30,15,2027,9,Water,0.9666666666666667,0.9775280898876404,0.9720670391061451,90,89
RF_VIF10,30,15,2027,10,Built,0.9777777777777777,0.9887640449438202,0.9832402234636872,90,89
RF_VIF10,30,15,2028,1,Sun coffee,0.7555555555555555,0.8395061728395061,0.7953216374269005,90,81
RF_VIF10,30,15,2028,2,Intercrop coffee,0.8777777777777778,0.79,0.831578947368421,90,100
RF_VIF10,30,15,2028,3,Newly planted coffee,0.9888888888888889,0.9468085106382979,0.9673913043478262,90,94
RF_VIF10,30,15,2028,4,Rubber,0.8666666666666667,0.975,0.9176470588235294,90,80
RF_VIF10,30,15,2028,5,Partially vegetative,0.9555555555555556,0.9555555555555556,0.9555555555555556,90,90
RF_VIF10,30,15,2028,6,Rice,0.9444444444444444,1.0,0.9714285714285714,90,85
RF_VIF10,30,15,2028,7,Other upland crops,0.9555555555555556,0.9347826086956522,0.945054945054945,90,92
RF_VIF10,30,15,2028,8,Forest,0.9666666666666667,0.8787878787878788,0.9206349206349207,90,99
RF_VIF10,30,15,2028,9,Water,0.9666666666666667,0.9775280898876404,0.9720670391061451,90,89
RF_VIF10,30,15,2028,10,Built,0.9777777777777777,0.9777777777777777,0.9777777777777777,90,90
RF_VIF10,35,15,2024,1,Sun coffee,0.7555555555555555,0.8607594936708861,0.8047337278106509,90,79
RF_VIF10,35,15,2024,2,Intercrop coffee,0.9,0.7941176470588235,0.84375,90,102
RF_VIF10,35,15,2024,3,Newly planted coffee,0.9888888888888889,0.9468085106382979,0.9673913043478262,90,94
