block_id,n_samples,n_classes,lon_mean,lat_mean,x_mean,y_mean
13_147,2,1,107.67615728910859,13.329516596114901,139857.65132517493,1475986.5748374732
16_148,2,1,107.87293325209497,13.3798671677898,161268.58470374296,1481284.9999977872
18_146,2,1,108.06005232577706,13.273686301206872,181415.11178752434,1469279.866148129
21_137,2,1,108.39975025046687,12.411528207273163,217287.12524426825,1373439.813411293
22_137,2,1,108.47543331315393,12.430886901645938,225541.04306954442,1375503.2264739778
24_141,2,1,108.6577913158302,12.77076448939256,245712.26546515862,1412935.0461972556
25_139,2,1,108.76455608734781,12.630851883890944,257175.95294917602,1397349.8512446648
28_140,2,1,108.97723223086311,12.730789459249241,280372.81434933754,1408219.6539603388
15_141,1,1,107.84018965998881,12.81729722110995,156939.07521067472,1419031.596910965
17_145,1,1,107.9753861102488,13.165843551348324,172088.46444208204,1457448.584555502
19_136,1,1,108.22610590604656,12.2885488448772,198253.4540466157,1360016.6447388013
20_137,1,1,108.30282203131037,12.4238351266656,206755.39224290027,1374906.9682184674
22_135,1,1,108.42723869816092,12.279745355092828,220137.53123844706,1358824.6784416982
23_138,1,1,108.60276950467788,12.55130606548216,239512.68994782103,1388701.9218965198
26_140,1,1,108.86642504056695,12.673746438707651,268285.00639822445,1402003.8926352605
26_141,1,1,108.82519236902587,12.829514308973977,263949.5134868518,1419277.6028148048
27_141,1,1,108.93083424643832,12.75055239549987,275350.48852231365,1410446.09098979
28_141,1,1,108.97377371701924,12.753876162051112,280017.08802145754,1410777.0530668565
