block_size_km,fold,feature,ranking_importance,rank,selected,source_group,season_or_orbit,feature_family
10,2,S2_wet_NDVI,0.0104999695926275,47,False,Sentinel-2 optical,wet,spectral_index
10,2,S2_dry_NDVI,0.010450491755787402,48,False,Sentinel-2 optical,dry,spectral_index
10,2,S2_dry_B4,0.010438452981835655,49,False,Sentinel-2 optical,dry,spectral_band_or_percentile
10,2,S2_wet_RDVI,0.010392547719298062,50,False,Sentinel-2 optical,wet,spectral_index
10,2,S2_wet_NLI,0.010377207253445818,51,False,Sentinel-2 optical,wet,spectral_index
10,2,S2_wet_MNDWI,0.010366431423560156,52,False,Sentinel-2 optical,wet,spectral_index
10,2,S2_dry_RDVI,0.01036597412479178,53,False,Sentinel-2 optical,dry,spectral_index
10,2,S2_dry_NDMI,0.010358558980570462,54,False,Sentinel-2 optical,dry,spectral_index
10,2,L89_wet_NDVI,0.010263884398687029,55,False,Landsat 8/9 optical,wet,spectral_index
10,2,S2_wet_MSR,0.010142289445050977,56,False,Sentinel-2 optical,wet,spectral_index
10,2,S2_dry_CI_RE,0.00964523290709708,57,False,Sentinel-2 optical,dry,spectral_index
10,2,S2_dry_SR,0.00941866837224008,58,False,Sentinel-2 optical,dry,spectral_index
10,2,S2_wet_CI_RE,0.009228538243862544,59,False,Sentinel-2 optical,wet,spectral_index
10,2,S2_wet_SR,0.009080065713670291,60,False,Sentinel-2 optical,wet,spectral_index
10,2,S2_wet_B2,0.009060216964446957,61,False,Sentinel-2 optical,wet,spectral_band_or_percentile
10,2,S2_wet_B3,0.00884755143010048,62,False,Sentinel-2 optical,wet,spectral_band_or_percentile
10,2,S2_wet_B5,0.008812013950097345,63,False,Sentinel-2 optical,wet,spectral_band_or_percentile
10,2,S2_wet_B6,0.008791817353319886,64,False,Sentinel-2 optical,wet,spectral_band_or_percentile
10,2,S2_wet_B4,0.008030466017751247,65,False,Sentinel-2 optical,wet,spectral_band_or_percentile
10,2,L89_wet_NBR,0.008020604117827528,66,False,Landsat 8/9 optical,wet,spectral_index
10,2,L89_wet_BSI,0.007887601129283566,67,False,Landsat 8/9 optical,wet,spectral_index
10,2,L89_wet_NIR,0.007559852088763138,68,False,Landsat 8/9 optical,wet,spectral_band_or_percentile
10,2,L89_wet_SWIR2_p75,0.0074549825015728065,69,False,Landsat 8/9 optical,wet,spectral_band_or_percentile
10,2,L89_wet_SWIR2,0.00733556681269883,70,False,Landsat 8/9 optical,wet,spectral_band_or_percentile
10,2,L89_wet_Blue,0.007148866651163782,71,False,Landsat 8/9 optical,wet,spectral_band_or_percentile
10,2,S1_VH_glcm_contrast_5x5,0.007147543031931871,72,False,Sentinel-1 SAR,static_or_annual,texture
10,2,S2_wet_NDI,0.007117128232556029,73,False,Sentinel-2 optical,wet,spectral_index
10,2,DEM_slope,0.00674845769284487,74,False,DEM/topography,static_or_annual,topographic
10,2,S2_wet_B7,0.006518224141683336,75,False,Sentinel-2 optical,wet,spectral_band_or_percentile
10,2,L89_wet_Red,0.006484590392381184,76,False,Landsat 8/9 optical,wet,spectral_band_or_percentile
10,2,S2_wet_MTCI,0.006434464853080224,77,False,Sentinel-2 optical,wet,spectral_index
10,2,S1_VVminusVH_asc_p50,0.0063346792689651585,78,False,Sentinel-1 SAR,ascending,sar_backscatter_metric
10,2,L89_wet_NDMI,0.006299489414647551,79,False,Landsat 8/9 optical,wet,spectral_index
10,2,L89_wet_Green,0.0061153855383577265,80,False,Landsat 8/9 optical,wet,spectral_band_or_percentile
10,2,L89_wet_SWIR1,0.006006350328427908,81,False,Landsat 8/9 optical,wet,spectral_band_or_percentile
10,2,S2_wet_NDMI,0.005920631721848803,82,False,Sentinel-2 optical,wet,spectral_index
10,2,L89_wet_MSI,0.005577444648809458,83,False,Landsat 8/9 optical,wet,spectral_index
10,2,S1_VHdesc_p25,0.004997987226886823,84,False,Sentinel-1 SAR,descending,sar_backscatter_metric
