feature,source_group,season_or_orbit,feature_family,n,missing_count,missing_pct,inf_count,zero_count,zero_pct,finite_count,mean,std,min,p01,p25,median,p75,p99,max,all_missing,constant_or_near_constant
S2_dry_B8,Sentinel-2 optical,dry,spectral_band_or_percentile,3000,0,0.0,0,0,0.0,3000,0.24492367504966667,0.09032702387004092,0.00445,0.0178,0.19313750000000002,0.26457499,0.308025,0.4135625197999997,0.5004,False,False
S2_dry_CI_RE,Sentinel-2 optical,dry,spectral_index,3000,0,0.0,0,1,0.03333333333333333,3000,1.20711066195205,1.0474341590446594,-0.6843731,-0.5770115720000001,0.24518686,1.24683275,2.0163578500000003,3.5252824039999924,4.7530584,False,False
S2_dry_CVI,Sentinel-2 optical,dry,spectral_index,3000,0,0.0,0,0,0.0,3000,3.406060595026,1.3307743854009775,0.054443344,0.1646297829,2.66428435,3.77785385,4.36417375,5.463998139999999,6.117111,False,False
S2_dry_GNDVI,Sentinel-2 optical,dry,spectral_index,3000,0,0.0,0,0,0.0,3000,0.47225953571213336,0.30842810756918654,-0.76975155,-0.5790446853,0.351453675,0.595812585,0.68198232,0.7738268739999994,0.8088094,False,False
S2_dry_MNDWI,Sentinel-2 optical,dry,spectral_index,3000,0,0.0,0,0,0.0,3000,-0.4251024134695667,0.30257287735272914,-0.69514066,-0.6347800373,-0.5812183625,-0.52439245,-0.41610083,0.7335049035999996,0.8883512,False,False
S2_dry_MSR,Sentinel-2 optical,dry,spectral_index,3000,0,0.0,0,0,0.0,3000,1.277836424732,1.0402848453401243,-0.64984894,-0.5124911114,0.30504951,1.3076178,2.07347695,3.562843989999999,4.10028,False,False
S2_dry_MTCI,Sentinel-2 optical,dry,spectral_index,3000,0,0.0,0,0,0.0,3000,-1277.3525242064584,7503.204095158111,-67099.99,-52001.992079999996,0.890609875,2.1412164000000002,2.7488593249999997,4.283126333999917,32100.008,False,False
S2_dry_NBR,Sentinel-2 optical,dry,spectral_index,3000,0,0.0,0,1,0.03333333333333333,3000,0.2889907976224983,0.27035465930715497,-0.46233523,-0.2816888948,0.04559227675,0.339766365,0.53130906,0.7067734647,0.9195318,False,False
S2_dry_NBR2,Sentinel-2 optical,dry,spectral_index,3000,0,0.0,0,0,0.0,3000,0.21605124825916663,0.1164093484421396,-0.032832306,-0.006054347167,0.10824781,0.23758941,0.30513233,0.415625574,0.43288997,False,False
S2_dry_NDI,Sentinel-2 optical,dry,spectral_index,3000,0,0.0,0,2,0.06666666666666667,3000,0.03455312297819333,0.15764719185431045,-0.31529316,-0.27132963839999996,-0.08434539375,0.029666335500000002,0.16721744249999998,0.3208906318999999,0.4432,False,False
