block_size_km,fold,rank_selected,feature,source_group,season_or_orbit,feature_family
20,3,7,L89_dry_SWIR2_p75,Landsat 8/9 optical,dry,spectral_band_or_percentile
20,3,8,S2_dry_GNDVI,Sentinel-2 optical,dry,spectral_index
20,3,9,S2_dry_B2,Sentinel-2 optical,dry,spectral_band_or_percentile
20,3,10,S2_dry_NDI,Sentinel-2 optical,dry,spectral_index
20,3,11,L89_dry_Blue,Landsat 8/9 optical,dry,spectral_band_or_percentile
20,3,12,S2_wet_NDWI,Sentinel-2 optical,wet,spectral_index
20,3,13,S2_dry_B7,Sentinel-2 optical,dry,spectral_band_or_percentile
20,3,14,S2_dry_NBR2,Sentinel-2 optical,dry,spectral_index
20,3,15,L89_dry_MSI,Landsat 8/9 optical,dry,spectral_index
20,3,16,S2_dry_SR,Sentinel-2 optical,dry,spectral_index
20,3,17,L89_wet_NBR2,Landsat 8/9 optical,wet,spectral_index
20,3,18,S1_VVasc_p50,Sentinel-1 SAR,ascending,sar_backscatter_metric
20,3,19,S2_wet_SR,Sentinel-2 optical,wet,spectral_index
20,3,20,S2_wet_NLI,Sentinel-2 optical,wet,spectral_index
20,3,21,L89_dry_NDVI,Landsat 8/9 optical,dry,spectral_index
20,3,22,S2_dry_PSRI,Sentinel-2 optical,dry,spectral_index
20,3,23,S2_dry_NDMI,Sentinel-2 optical,dry,spectral_index
20,3,24,S2_wet_CVI,Sentinel-2 optical,wet,spectral_index
20,3,25,S2_wet_B7,Sentinel-2 optical,wet,spectral_band_or_percentile
20,4,1,S2_dry_CVI,Sentinel-2 optical,dry,spectral_index
20,4,2,DEM_elevation,DEM/topography,static_or_annual,topographic
20,4,3,S2_dry_MNDWI,Sentinel-2 optical,dry,spectral_index
20,4,4,S2_dry_NDI,Sentinel-2 optical,dry,spectral_index
20,4,5,S2_wet_NBR2,Sentinel-2 optical,wet,spectral_index
20,4,6,S2_dry_B12,Sentinel-2 optical,dry,spectral_band_or_percentile
20,4,7,S2_dry_B2,Sentinel-2 optical,dry,spectral_band_or_percentile
20,4,8,L89_dry_Green,Landsat 8/9 optical,dry,spectral_band_or_percentile
20,4,9,S1_VHasc_p50,Sentinel-1 SAR,ascending,sar_backscatter_metric
20,4,10,S2_dry_B8,Sentinel-2 optical,dry,spectral_band_or_percentile
20,4,11,L89_dry_SWIR1,Landsat 8/9 optical,dry,spectral_band_or_percentile
20,4,12,L89_wet_NBR2,Landsat 8/9 optical,wet,spectral_index
20,4,13,S2_wet_B12,Sentinel-2 optical,wet,spectral_band_or_percentile
20,4,14,L89_dry_NDMI,Landsat 8/9 optical,dry,spectral_index
20,4,15,S2_wet_NDWI,Sentinel-2 optical,wet,spectral_index
20,4,16,L89_dry_NDVI,Landsat 8/9 optical,dry,spectral_index
20,4,17,L89_dry_MSI,Landsat 8/9 optical,dry,spectral_index
20,4,18,S2_dry_NBR2,Sentinel-2 optical,dry,spectral_index
20,4,19,S2_dry_NDWI,Sentinel-2 optical,dry,spectral_index
20,4,20,S2_wet_CI_RE,Sentinel-2 optical,wet,spectral_index
20,4,21,S2_wet_NBR,Sentinel-2 optical,wet,spectral_index
20,4,22,S2_wet_CVI,Sentinel-2 optical,wet,spectral_index
20,4,23,S2_dry_NDMI,Sentinel-2 optical,dry,spectral_index
20,4,24,S2_wet_B11,Sentinel-2 optical,wet,spectral_band_or_percentile
20,4,25,S2_dry_SR,Sentinel-2 optical,dry,spectral_index
20,5,1,S2_dry_CVI,Sentinel-2 optical,dry,spectral_index
20,5,2,S2_dry_MNDWI,Sentinel-2 optical,dry,spectral_index
20,5,3,DEM_elevation,DEM/topography,static_or_annual,topographic
20,5,4,S2_wet_NBR2,Sentinel-2 optical,wet,spectral_index
20,5,5,S2_dry_B11,Sentinel-2 optical,dry,spectral_band_or_percentile
20,5,6,S2_dry_B3,Sentinel-2 optical,dry,spectral_band_or_percentile
20,5,7,L89_dry_SWIR2,Landsat 8/9 optical,dry,spectral_band_or_percentile
20,5,8,S2_dry_B6,Sentinel-2 optical,dry,spectral_band_or_percentile
