block_size_km,fold,feature,final_rf_importance,source_group,season_or_orbit,feature_family
15,2,S2_dry_CVI,0.06264179985046149,Sentinel-2 optical,dry,spectral_index
15,2,DEM_elevation,0.059570062743116124,DEM/topography,static_or_annual,topographic
15,2,S2_wet_NBR2,0.05425562232177287,Sentinel-2 optical,wet,spectral_index
15,2,S2_dry_MNDWI,0.05232414731029532,Sentinel-2 optical,dry,spectral_index
15,2,S2_dry_B6,0.0508218434116257,Sentinel-2 optical,dry,spectral_band_or_percentile
15,2,S2_dry_B11,0.047615274266271976,Sentinel-2 optical,dry,spectral_band_or_percentile
15,2,S2_dry_NDI,0.04480044353424434,Sentinel-2 optical,dry,spectral_index
15,2,S2_wet_GNDVI,0.0429176224894881,Sentinel-2 optical,wet,spectral_index
15,2,S2_dry_B12,0.042383039845923925,Sentinel-2 optical,dry,spectral_band_or_percentile
15,2,L89_dry_NDVI,0.04232569716966791,Landsat 8/9 optical,dry,spectral_index
15,2,S1_VHasc_p50,0.04194374992983073,Sentinel-1 SAR,ascending,sar_backscatter_metric
15,2,L89_dry_Green,0.04106674188139721,Landsat 8/9 optical,dry,spectral_band_or_percentile
15,2,S2_dry_B2,0.041041914661155504,Sentinel-2 optical,dry,spectral_band_or_percentile
15,2,S1_VVasc_p50,0.03657394344014718,Sentinel-1 SAR,ascending,sar_backscatter_metric
15,2,L89_dry_NBR,0.03639946874663478,Landsat 8/9 optical,dry,spectral_index
15,2,L89_dry_MSI,0.03507940902222566,Landsat 8/9 optical,dry,spectral_index
15,2,S2_dry_SR,0.03478719091073486,Sentinel-2 optical,dry,spectral_index
15,2,S2_wet_B12,0.0336470052894845,Sentinel-2 optical,wet,spectral_band_or_percentile
15,2,S2_wet_CI_RE,0.03333786957819642,Sentinel-2 optical,wet,spectral_index
15,2,L89_wet_NBR2,0.03302781936801692,Landsat 8/9 optical,wet,spectral_index
15,2,S2_wet_CVI,0.029827199966038574,Sentinel-2 optical,wet,spectral_index
15,2,S2_dry_B5,0.02852112663700031,Sentinel-2 optical,dry,spectral_band_or_percentile
15,2,DEM_slope,0.026554349005314913,DEM/topography,static_or_annual,topographic
15,2,S2_wet_B8,0.025991676441979004,Sentinel-2 optical,wet,spectral_band_or_percentile
15,2,S2_wet_B11,0.02254498217897581,Sentinel-2 optical,wet,spectral_band_or_percentile
15,3,S2_dry_CVI,0.06722786624744025,Sentinel-2 optical,dry,spectral_index
15,3,DEM_elevation,0.06557725256942673,DEM/topography,static_or_annual,topographic
15,3,S2_dry_MNDWI,0.05233226026776324,Sentinel-2 optical,dry,spectral_index
15,3,S2_wet_NBR2,0.04991716376897743,Sentinel-2 optical,wet,spectral_index
15,3,S2_dry_NBR2,0.04690155926830723,Sentinel-2 optical,dry,spectral_index
15,3,S2_dry_B11,0.04651713280139584,Sentinel-2 optical,dry,spectral_band_or_percentile
15,3,S2_dry_B2,0.04486536299603827,Sentinel-2 optical,dry,spectral_band_or_percentile
15,3,S2_dry_B8,0.04127457276076933,Sentinel-2 optical,dry,spectral_band_or_percentile
15,3,S2_dry_NDI,0.04062289987578659,Sentinel-2 optical,dry,spectral_index
15,3,L89_dry_Green,0.04059996276167969,Landsat 8/9 optical,dry,spectral_band_or_percentile
15,3,L89_dry_MSI,0.03870866899447564,Landsat 8/9 optical,dry,spectral_index
15,3,S1_VHasc_p50,0.03845074094710622,Sentinel-1 SAR,ascending,sar_backscatter_metric
15,3,S2_wet_NDWI,0.03773818639263767,Sentinel-2 optical,wet,spectral_index
15,3,L89_dry_SWIR2_p75,0.037531525773958706,Landsat 8/9 optical,dry,spectral_band_or_percentile
15,3,S2_dry_CI_RE,0.03693758026285158,Sentinel-2 optical,dry,spectral_index
15,3,S2_dry_NDWI,0.036068086380195485,Sentinel-2 optical,dry,spectral_index
15,3,S1_VVasc_p50,0.036034559656294825,Sentinel-1 SAR,ascending,sar_backscatter_metric
15,3,L89_wet_NBR2,0.03514297100762849,Landsat 8/9 optical,wet,spectral_index
15,3,S2_dry_NBR,0.034808629137104655,Sentinel-2 optical,dry,spectral_index
15,3,S2_dry_B5,0.032432035399794314,Sentinel-2 optical,dry,spectral_band_or_percentile
