DEM_elevation,S2_dry_CVI,S2_dry_MNDWI,L89_dry_SWIR1,L89_dry_NIR,S2_dry_B2,S1_VHasc_p50,L89_dry_Green,S2_wet_B12,L89_dry_MSI,S2_dry_B5,L89_wet_NBR2,S2_dry_NDI,S2_dry_NDMI,S2_wet_NBR2,S2_wet_B8,L89_wet_MSI,S2_wet_NDMI,L89_wet_NIR,L89_wet_Green,L89_wet_NDMI,S2_dry_NBR2,S2_wet_CVI,L89_dry_BSI,L89_wet_SWIR2
629.0,4.3425717,-0.5832381,0.17961,0.24528,0.036,-15.645374,0.050195,0.1201,0.78817666,0.1027,0.29715666,-0.02232854,0.06806049,0.29384968,0.3383,0.7120031,0.2004968,0.283285,0.0561075,0.16941424,0.23543401,3.784395,-0.047406178,0.10828875
633.0,4.511006,-0.5793818,0.173175,0.26277,0.03285,-14.712769,0.0512125,0.1147,0.67883784,0.0999,0.2981863,0.051187582,0.1442114,0.30736715,0.3631,0.6375155,0.25293306,0.31563875,0.0594075,0.2233934,0.27075344,3.7571049,-0.11701416,0.107945
645.0,4.6582804,-0.5829498,0.2022425,0.23571,0.0395,-16.413263,0.05806,0.1635,0.82093763,0.11885,0.22763582,-0.07466702,0.0008132089,0.17813332,0.263,0.58319694,0.03135278,0.2459675,0.06444,0.26326668,0.17235322,3.6711104,-0.021851793,0.0964775
635.0,4.0234265,-0.5857137,0.1796375,0.275365,0.0358,-13.775143,0.0493975,0.1316,0.68919253,0.1018,0.36312312,0.035262685,0.05365208,0.2658298,0.2453,0.4520227,0.038966537,0.47500125,0.07698,0.3775136,0.26339477,3.4607751,-0.117503956,0.10336625
625.0,3.8783042,-0.586785,0.1766675,0.28312,0.0312,-14.669032,0.0506625,0.1284,0.6189521,0.09945,0.3493483,0.13144256,0.14708346,0.2605816,0.4019,0.49274114,0.2216708,0.35650375,0.06511375,0.3398391,0.2510084,2.9745731,-0.16647719,0.09711
626.0,4.5438886,-0.55271566,0.1581875,0.29775,0.0355,-14.607357,0.0452725,0.12715,0.54718775,0.0884,0.3083791,0.09759189,0.22697495,0.28946948,0.39455,0.47630134,0.2452636,0.3897375,0.0707375,0.35473695,0.28274497,3.728813,-0.222641,0.10525
641.0,3.9050727,-0.5796992,0.1785925,0.2937075,0.0296,-14.776645,0.0483525,0.10705,0.5962757,0.0864,0.31450814,0.15065505,0.18799016,0.32791522,0.35205,0.45930457,0.28273827,0.35006875,0.0673275,0.37081966,0.29871085,3.7991874,-0.1933159,0.0966425
640.0,3.7391927,-0.58124113,0.15365,0.31217375,0.028,-13.833026,0.04388375,0.0952,0.48571217,0.0809,0.36039144,0.24775352,0.2587519,0.32262155,0.3423,0.46902657,0.29549554,0.36018875,0.0616625,0.36227593,0.3477805,3.826877,-0.29571298,0.07922125
645.0,4.1460714,-0.57988167,0.1809575,0.2325475,0.0354,-14.791856,0.05256,0.1469,0.76811945,0.1126,0.2798438,-0.024291495,0.057823826,0.24502769,0.29285002,0.6325391,0.126388,0.3450775,0.0797575,0.22508554,0.21323724,3.5553544,-0.051705096,0.141165
528.0,4.271173,-0.5861575,0.1600575,0.2505325,0.02705,-15.678251,0.048325,0.1039,0.67621505,0.08495,0.36671332,0.06823262,0.12085408,0.33056268,0.3585,0.4880307,0.2620567,0.35462,0.056685,0.3440583,0.2556952,3.3797283,-0.14598376,0.0872925
518.0,4.5158305,-0.6048991,0.1689125,0.2220425,0.03205,-15.350753,0.047555,0.11735,0.81292135,0.09015,0.3006385,-0.017381992,0.008114198,0.2886505,0.28890002,0.64905685,0.17552768,0.28954124,0.05652,0.2173896,0.25378683,3.6123896,-0.041392516,0.09909
506.0,4.8263297,-0.5980931,0.16575,0.22348624,0.03235,-15.82964,0.04838,0.1321,0.73531914,0.0927,0.28685305,-0.066799015,0.02150819,0.28714654,0.3212,0.6345853,0.15936232,0.2659875,0.0556125,0.22402254,0.22445568,4.4235044,-0.083880186,0.09667
485.0,4.544796,-0.5864345,0.1617625,0.2881525,0.03325,-14.102486,0.050085,0.12935,0.60620785,0.0935,0.2910636,0.07590297,0.16664802,0.2743644,0.29115,0.6911024,0.14606261,0.2940375,0.064275,0.1826605,0.27889037,3.5858681,-0.18500401,0.1129775
506.0,5.1613827,-0.5954023,0.197595,0.28670874,0.0341,-15.29373,0.05755125,0.14965001,0.6944278,0.1106,0.28095412,0.026548682,0.15813872,0.2677803,0.36879998,0.4108183,0.18456939,0.2124175,0.03771,0.41761696,0.25921556,4.1413527,-0.10639129,0.048985
509.0,5.141108,-0.5838877,0.17708,0.25562,0.0381,-15.537007,0.0495625,0.1665,0.7082388,0.104,0.0,-0.056027167,0.08379662,0.22594544,0.2785,0.0,0.13182096,0.0,0.0,0.0,0.2377811,2.720695,-0.099515244,0.0
510.0,5.061328,-0.6012954,0.188025,0.245665,0.0376,-15.900655,0.049315,0.1745,0.7275031,0.1048,0.0,-0.050709967,0.05559816,0.24311428,0.3412,0.0,0.0994467,0.0,0.0,0.0,0.2275641,4.479339,-0.09362594,0.0
511.0,5.214913,-0.61031574,0.1863475,0.2663725,0.03465,-15.715367,0.051295,0.1522,0.703801,0.10465,0.0,-0.015975902,0.10937051,0.26428944,0.3241,0.0,0.146775,0.0,0.0,0.0,0.24881414,4.251796,-0.095065616,0.0
513.0,4.5939856,-0.5839532,0.1903625,0.2553175,0.03575,-15.2382965,0.0498925,0.1404,0.7225511,0.10675,0.0,-0.0008635564,0.08854442,0.26535752,0.3096,0.0,0.08860757,0.0,0.0,0.0,0.24806295,3.8238387,-0.08530738,0.0
512.0,4.904532,-0.59723324,0.1779325,0.2825425,0.03385,-15.0031595,0.05265625,0.1361,0.6442096,0.1006,0.0,0.091814905,0.19975916,0.29615593,0.3264,0.0,0.17305699,0.0,0.0,0.0,0.27419358,4.122789,-0.14335851,0.0
516.0,5.0739408,-0.60583943,0.1931125,0.26968625,0.0358,-15.78498,0.05106125,0.1485,0.7036743,0.0982,0.0,0.029308338,0.12181746,0.29322955,0.3376,0.0,0.16333562,0.0,0.0,0.0,0.2588202,4.395592,-0.104059555,0.0
517.0,4.87037,-0.5918566,0.17398626,0.27403125,0.0328,-16.156141,0.05256,0.1401,0.6377706,0.109,0.0,0.06469219,0.16120204,0.29075214,0.3635,0.0,0.24029082,0.0,0.0,0.0,0.22991541,4.091746,-0.12702867,0.0
514.0,5.5756555,-0.60279554,0.17992625,0.25408,0.03355,-16.71544,0.0499475,0.1626,0.712152,0.10155,0.0,-0.0197142,0.111079514,0.26806125,0.3391,0.0,0.15872204,0.0,0.0,0.0,0.23853177,4.274483,-0.09307024,0.0
557.0,4.6059666,-0.57296467,0.14051875,0.27557126,0.031,-16.205032,0.0428525,0.1035,0.45951605,0.0867,0.33296987,0.21574804,0.31184527,0.33503184,0.344,0.4356833,0.24277458,0.35501876,0.05441625,0.39326006,0.34786323,3.1705718,-0.31938836,0.07680125
552.0,3.9971828,-0.56117755,0.13649,0.2626875,0.0308,-15.269486,0.0396625,0.100099996,0.4892315,0.0822,0.36819017,0.18991332,0.2508892,0.36072963,0.4056,0.43226686,0.30807194,0.356435,0.0503875,0.39642677,0.32462505,3.2820048,-0.28360018,0.0740925
554.0,4.007997,-0.5703988,0.1353625,0.26695,0.0275,-15.21839,0.0409275,0.1008,0.5497907,0.0787,0.3166114,0.16346154,0.21664405,0.3447642,0.3782,0.41164222,0.28773716,0.29962,0.053935,0.4167896,0.3198697,3.3300867,-0.23612349,0.069885
556.0,4.215809,-0.57228297,0.1404775,0.258975,0.0319,-15.429415,0.042825,0.11395,0.5899229,0.08985,0.31253392,0.07254067,0.13526519,0.3271087,0.35259998,0.4269523,0.22069897,0.297255,0.053715,0.40158853,0.2880887,3.5411146,-0.20530613,0.0767875
551.0,3.9472497,-0.58686274,0.1678675,0.2477825,0.03095,-15.263698,0.04739,0.1175,0.636637,0.0916,0.3140518,0.13518244,0.09745581,0.33123395,0.4326,0.48054445,0.29086706,0.3980425,0.0676575,0.35135734,0.2908571,3.774343,-0.15747258,0.102445
550.0,4.08443,-0.5837308,0.18531625,0.2107125,0.03585,-15.012846,0.05047,0.12845,0.86840665,0.09475,0.28221244,-0.019330544,-0.005876748,0.31664297,0.3976,0.62630016,0.20308831,0.36615625,0.074395,0.23091361,0.24898058,3.4111006,-0.009231288,0.13048124
547.0,4.2349863,-0.56914794,0.18050376,0.2552625,0.034,-14.370793,0.05245,0.119200006,0.70351326,0.0909,0.26936007,0.07466503,0.12343461,0.32856888,0.3972,0.5783041,0.31158698,0.4044775,0.0798675,0.2671829,0.27178997,3.7643437,-0.106287375,0.114875
544.0,3.9529922,-0.55408204,0.1679225,0.219705,0.0347,-14.72934,0.04844875,0.1286,0.7814377,0.0901,0.29663846,0.020746853,0.07282097,0.3174043,0.3696,0.5662627,0.18689789,0.3096575,0.0787125,0.27692497,0.27089074,3.080784,-0.055427514,0.112675
547.0,3.8047771,-0.556962,0.1596175,0.2128025,0.032,-14.371558,0.04778875,0.116799995,0.77052635,0.0905,0.3051052,0.08151551,0.09836788,0.3300898,0.41595,0.5859941,0.2636231,0.32415,0.0586925,0.26103872,0.26411,3.1604886,-0.06327714,0.104315
549.0,3.7912574,-0.5871569,0.15761,0.2373325,0.02995,-15.154788,0.0456025,0.1233,0.6981555,0.08835,0.31472448,0.12922157,0.109544866,0.306914,0.3808,0.60007775,0.23375994,0.3921575,0.075495,0.24993925,0.27481973,3.4848154,-0.11148552,0.1067625
546.0,4.0258336,-0.58153385,0.155575,0.23373,0.0304,-15.417546,0.0451075,0.12005,0.6656184,0.0838,0.3155342,0.109090924,0.08570324,0.33381134,0.37895,0.612309,0.25162333,0.42689,0.07786,0.24045703,0.28703707,3.5054414,-0.13992868,0.1072575
473.0,4.3864617,-0.5414543,0.1620925,0.2562525,0.03745,-17.017984,0.0433475,0.12735,0.659265,0.0976,0.36794475,-0.022713164,0.10865393,0.28179982,0.3246,0.566825,0.18438165,0.33004874,0.04784375,0.28437084,0.2656499,3.9139724,-0.15848337,0.0840475
